#ahum.dat absolute Humidity				
@dataValueAttribs				
rhum	0	100.00	%
@dataSetAttribs				
missingDataVal	-9999			
dataStart	01.02.1993 07:30			
dataEnd	31.12.1999 07:30			
tres	d			
@statAttribVal				
name	Pietersburg	Mara	Warmbad 	
ID	0677502BX	07220991	05895941	
elevation	1226.00	897.00	1143.00	
x	138407.24429	148732.01844	28031.37226	
y	7355629.19	7435738.17	7238014.66	
dataColumn	1	2	3	
@dataVal				
02.03.1994	07:30	10.18561785	11.52207493	9.126564082
03.03.1994	07:30	9.775255349	10.0673621	7.974295075
04.03.1994	07:30	11.42704684	12.69879507	10.05863681
05.03.1994	07:30	11.12549303	13.09842929	10.37518459
06.03.1994	07:30	10.64550199	11.56043555	9.156949287
07.03.1994	07:30	9.080761469	9.209982424	7.29516995
08.03.1994	07:30	9.916232435	10.3186605	8.173346976
09.03.1994	07:30	11.69752869	17.59913206	13.94016334
10.03.1994	07:30	12.87582884	14.37336685	11.38505473
11.03.1994	07:30	8.397167584	13.76973312	10.9069202
12.03.1994	07:30	8.498188292	10.79184957	8.548157104
13.03.1994	07:30	10.40370492	12.17073736	9.64036557
14.03.1994	07:30	10.84755323	12.3833108	9.80874367
15.03.1994	07:30	10.44101813	13.19274715	10.44989319
16.03.1994	07:30	12.81904743	15.14828151	11.99885982
17.03.1994	07:30	12.36689844	13.10909907	10.38363606
18.03.1994	07:30	10.69858967	11.99743658	9.503095097
19.03.1994	07:30	10.49000371	13.14242276	10.41003155
20.03.1994	07:30	8.795511715	10.84692543	8.591782354
21.03.1994	07:30	9.436988144	10.77799943	8.537186492
22.03.1994	07:30	9.226446084	10.8812246	8.618950508
23.03.1994	07:30	8.489063675	10.07646542	7.981505757
24.03.1994	07:30	8.784619868	10.27969594	8.142483391
25.03.1994	07:30	9.882243915	11.08500006	8.780359788
26.03.1994	07:30	9.692238054	12.41614523	9.834751622
27.03.1994	07:30	9.108791956	11.57054278	9.164955168
